Idx,win_rate0
0,0.5
1000,0.0
2000,0.0
3000,0.0
4000,0.0
5000,0.0
6000,0.0
7000,0.020833333333333332
8000,0.038461538461538464
9000,0.03636363636363636
10000,0.03333333333333333
11000,0.03076923076923077
12000,0.028985507246376812
13000,0.0273972602739726
14000,0.03896103896103896
15000,0.038461538461538464
16000,0.036585365853658534
17000,0.03488372093023256
18000,0.043478260869565216
19000,0.052083333333333336
20000,0.05
21000,0.05
22000,0.06
23000,0.07
24000,0.08
25000,0.09
26000,0.09
27000,0.09
28000,0.09
29000,0.1
30000,0.1
31000,0.12
32000,0.12
33000,0.14
34000,0.13
35000,0.12
36000,0.14
37000,0.16
38000,0.16
39000,0.17
40000,0.18
41000,0.19
42000,0.2
43000,0.21
44000,0.2
45000,0.22
46000,0.23
47000,0.24
48000,0.24
49000,0.24
50000,0.23
51000,0.25
52000,0.25
53000,0.27
54000,0.26
55000,0.26
56000,0.27
57000,0.26
58000,0.24
59000,0.24
60000,0.25
61000,0.25
62000,0.25
63000,0.25
64000,0.24
65000,0.24
66000,0.24
67000,0.25
68000,0.24
69000,0.24
70000,0.23
71000,0.23
72000,0.22
73000,0.21
74000,0.19
75000,0.19
76000,0.19
77000,0.19
78000,0.18
79000,0.19
80000,0.15
81000,0.15
82000,0.16
83000,0.16
84000,0.17
85000,0.17
86000,0.17
87000,0.17
88000,0.18
89000,0.19
90000,0.19
91000,0.21
92000,0.21
93000,0.2
94000,0.2
95000,0.19
96000,0.2
97000,0.19
98000,0.18
99000,0.18
100000,0.18
101000,0.19
102000,0.19
103000,0.21
104000,0.24
105000,0.22
106000,0.22
107000,0.22
108000,0.23
109000,0.24
110000,0.24
111000,0.24
112000,0.24
113000,0.24
114000,0.23
115000,0.24
116000,0.24
117000,0.24
118000,0.25
119000,0.26
120000,0.26
121000,0.26
122000,0.23
123000,0.23
124000,0.23
125000,0.24
126000,0.24
127000,0.24
128000,0.24
129000,0.24
130000,0.24
131000,0.24
132000,0.24
133000,0.21
134000,0.21
135000,0.22
136000,0.22
137000,0.23
138000,0.23
139000,0.23
140000,0.23
141000,0.22
142000,0.22
143000,0.24
144000,0.26
145000,0.25
146000,0.24
147000,0.23
148000,0.22
149000,0.2
150000,0.21
151000,0.21
152000,0.2
153000,0.2
154000,0.18
155000,0.18
156000,0.2
157000,0.2
158000,0.21
159000,0.19
160000,0.19
161000,0.2
162000,0.2
163000,0.21
164000,0.21
165000,0.22
166000,0.19
167000,0.2
168000,0.2
169000,0.2
170000,0.19
171000,0.2
172000,0.19
173000,0.19
174000,0.2
175000,0.21
176000,0.22
177000,0.23
178000,0.24
179000,0.23
180000,0.24
181000,0.25
182000,0.25
183000,0.27
184000,0.28
185000,0.28
186000,0.26
187000,0.26
188000,0.27
189000,0.26
190000,0.26
191000,0.26
192000,0.26
193000,0.24
194000,0.24
195000,0.24
196000,0.25
197000,0.23
198000,0.24
199000,0.25
200000,0.25
201000,0.25
202000,0.25
203000,0.26
204000,0.25
205000,0.23
206000,0.24
207000,0.25
208000,0.24
209000,0.24
210000,0.24
211000,0.23
212000,0.21
213000,0.21
214000,0.21
215000,0.22
216000,0.2
217000,0.21
218000,0.22
219000,0.21
220000,0.22
221000,0.21
222000,0.21
223000,0.2
224000,0.2
225000,0.21
226000,0.22
227000,0.23
228000,0.23
229000,0.23
230000,0.23
231000,0.24
232000,0.25
233000,0.25
234000,0.25
235000,0.25
236000,0.25
237000,0.24
238000,0.24
239000,0.24
240000,0.23
241000,0.24
242000,0.24
243000,0.25
244000,0.27
245000,0.27
246000,0.27
247000,0.26
248000,0.26
249000,0.26
250000,0.26
251000,0.28
252000,0.29
253000,0.28
254000,0.28
255000,0.26
256000,0.25
257000,0.25
258000,0.26
259000,0.27
260000,0.28
261000,0.28
262000,0.28
263000,0.29
264000,0.27
265000,0.28
266000,0.27
267000,0.28
268000,0.28
269000,0.27
270000,0.24
271000,0.25
272000,0.25
273000,0.25
274000,0.25
275000,0.25
276000,0.26
277000,0.27
278000,0.27
279000,0.27
280000,0.25
281000,0.25
282000,0.25
283000,0.26
284000,0.25
285000,0.25
286000,0.26
287000,0.26
288000,0.27
289000,0.28
290000,0.26
291000,0.26
292000,0.28
293000,0.28
294000,0.29
295000,0.32
296000,0.32
297000,0.33
298000,0.33
299000,0.32
300000,0.31
301000,0.29
302000,0.29
303000,0.29
304000,0.3
305000,0.3
306000,0.3
307000,0.29
308000,0.3
309000,0.29
310000,0.29
311000,0.29
312000,0.3
313000,0.32
314000,0.32
315000,0.33
316000,0.32
317000,0.34
318000,0.33
319000,0.33
320000,0.33
321000,0.34
322000,0.33
323000,0.33
324000,0.33
325000,0.33
326000,0.34
327000,0.34
328000,0.34
329000,0.34
330000,0.33
331000,0.34
332000,0.34
333000,0.34
334000,0.34
335000,0.34
336000,0.33
337000,0.32
338000,0.31
339000,0.28
340000,0.27
341000,0.27
342000,0.27
343000,0.28
344000,0.3
345000,0.3
346000,0.31
347000,0.31
348000,0.31
349000,0.3
350000,0.31
351000,0.31
352000,0.31
353000,0.32
354000,0.32
355000,0.33
356000,0.33
357000,0.34
358000,0.34
359000,0.34
360000,0.35
361000,0.35
362000,0.34
363000,0.32
364000,0.32
365000,0.32
366000,0.31
367000,0.32
368000,0.32
369000,0.33
370000,0.34
371000,0.34
372000,0.33
373000,0.35
374000,0.35
375000,0.34
376000,0.34
377000,0.34
378000,0.34
379000,0.33
380000,0.33
381000,0.33
382000,0.33
383000,0.33
384000,0.33
385000,0.32
386000,0.33
387000,0.34
388000,0.35
389000,0.34
390000,0.35
391000,0.36
392000,0.36
393000,0.36
394000,0.36
395000,0.36
396000,0.34
